form;data_sheet;title;element;field;requirement;description;format;input_value;comment;
3DA;metadata;; Liaison officer full name ;; M ; Name of the liaison officer in charge of the compilation of the data ; String ; e.g., `John Doe` ;;
3DA;metadata;;" Liaison officer email	";; M ; Email address of the liaison officer in charge of the compilation of the data ; Valid email address ; e.g., `John.Doe@fao.org` ;;
3DA;metadata;; Organisation name ;; M ; Name of the organisation in charge of the compilation of the data ; String ; e.g., `Institute of Fisheries` ;;
3DA;metadata;; Organisation email ;; O ; Email address of the organisation in charge of the compilation of the data ; Valid email address ; e.g., `nif@gov.sc` ;;
3DA;metadata;; Finalisation date ;; M ; Date of finalisation of the dataset ; [ISO 8601](https://en.wikipedia.org/wiki/ISO_8601) ; e.g., `1996-03-27` ;;
3DA;metadata;; Submission date ;; O ; Date of submission of the dataset ; [ISO 8601](https://en.wikipedia.org/wiki/ISO_8601) ; e.g., `1997-03-21` ;;
3DA;metadata;; Reporting year ;; M ; Gregorian calendar year of the fishing activities reported through the dataset ; 4-digit integer ; e.g., `1996` ;;
3DA;metadata;; Reporting entity ;; M ; Three-letter (alpha-3) code of the entity reporting the dataset to the IOTC Secretariat ; **Code** from [Entities](#entities) ; e.g., `EUR` ;;
3DA;metadata;; Flag state ;; M ; Three-letter (alpha-3) code of the country registration of the fishery vessels ; **Code** from [Countries](#countries) ; e.g., `ESP` ;;
3DA;metadata;; Reporting month ;; M ; Month of the fishing activities reported through the dataset ; Integer (1--12) ; e.g., `3` ;;
3DA;metadata;; Original data type ;; M ; Preliminary/final status of the data ; **Code** from [Types of data](#types) ; e.g., `FI` ;;
3DA;data;Main elements; Vessel name ;; M ; Name of the purse seine vessel as available from the IOTC Record of Authorised Vessel ([RAV](https://rav.iotc.org/)) ; String ; e.g., `DRENNEC` ;;
3DA;data;Main elements; Vessel IOTC number ;; M ; IOTC registered number of the purse seine vessel as available from the IOTC Record of Authorised Vessel ([RAV](https://rav.iotc.org/)) ; String ; e.g., `IOTC018542` ;;
3DA;data;Main elements; Day of the month ;; M ; Day of the month of the fishing activities reported through the dataset ; Integer ; e.g., `23` ;;
3DA;data;Main elements; UTC time  ;; M ; The date and time at which the drifting floating object was visited in Coordinated Universal Time ([UTC](https://en.wikipedia.org/wiki/Coordinated_Universal_Time)) ; [ISO 8601](https://en.wikipedia.org/wiki/ISO_8601) [YYYY-MM-DDTHH:MMZ] ; e.g., `2025-09-15T12:00Z` ;;
3DA;data;Main elements; Latitude  ;; M ; The latitude of the drifting floating object location, expressed in decimal degrees according to the WGS 84 reference system (EPSG:4326). Recommended precision: four decimal places (~10 m) ; [ISO 6709](https://en.wikipedia.org/wiki/ISO_6709) [+/-DD.DDDD] ; e.g., `-20.8854` ;;
3DA;data;Main elements; Longitude ;; M ; The longitude of the drifting floating object location, expressed in decimal degrees according to the WGS 84 reference system (EPSG:4326). Recommended precision: four decimal places (~10 m) ; [ISO 6709](https://en.wikipedia.org/wiki/ISO_6709) [+/-DDD.DDDD] ; e.g., `55.5312` ;;
3DA;;Buoy; Present ;; M ; Indicates whether a buoy is attached to the drifting floating object ; Boolean (Y/N) ; e.g., `N` ;String (Yes, No, Unk, Nap); 
3DA;;Buoy; Identifier ;; M ;  Unique identifier of buoy monitored generally composed of the concatenation of the buoy model with with 5-9 digits ; String ; e.g., `SLX328501` ;;
3DA;;Buoy; Position ;; M ; Indicates whether the vessel have access/knowledge of the buoy position ; Boolean (Y/N) ; e.g., `Y` ;String (Yes, No, Unk, Nap); 
3DA;;Buoy; Activity ;; M ; Type of activities undertaken when visiting or deploying the drifting floating object ; **Code** from [Buoy activity types](#DFOBbuoyActivityTypes) ; e.g., `DE` ;; 
3DA;;DFOB; Identifier ;; M ; Unique identifier of the drifting floating object ; String ; e.g., `IOTC-ABC-123` ;;
3DA;;DFOB; Type ;; M ; Type of drifting floating object ; **Code** from [Types of DFOBs](#FOBtypes) ; e.g., `DFAD` ;;
3DA;;DFOB; Activity ;; M ; Type of activity undertaken when visiting or deploying the drifting floating object ; **Code** from [Types of DFOB activities](#DFOBactivityTypes) ; e.g., `DE` ;;
3DA;;Surface (raft); Plastic ;; M ; Indicates whether the surface or near-surface structure of the drifting floating object contains some plastic materials ; Boolean (Y/N) ; e.g., `Y` ;String (Yes, No, Unk, Nap);
3DA;;Surface (raft); Metal  ;; M ; Indicates whether the surface or near-surface structure of the drifting floating object contains some metal materials ; Boolean (Y/N) ; e.g., `Y` ;String (Yes, No, Unk, Nap);
3DA;;Surface (raft); Length ;; M ; Length of the surface or near-surface structure of the drifting floating object in centimetres (cm) ; Numeric ; e.g., `150` ;;
3DA;;Surface (raft); Width  ;; O ; Width of the surface or near-surface structure of the drifting floating object in centimetres (cm) ; Numeric ; e.g. `120` ;;
3DA;;Surface (raft); Height ;; O ; Height of the surface or near-surface structure of the drifting floating object in centimetres (cm) ; Numeric ; e.g., `50` ;;
3DA;;Surface (raft); Mesh   ;; M ; Indicates whether the surface or near-surface structure of the drifting floating object contains mesh ; Boolean (Y/N) ; e.g., `Y` ;String (Yes, No, Unk, Nap);
3DA;;Surface (raft); Mesh size ;; O ; Size of the main net mesh used on the surface or near-surface structure of the drifting floating object (if any) in millimetres (mm) ; Numeric ; e.g., `5` ;;
3DA;;Subsurface (tail); Plastic ;; M ; Indicates whether the tail of the drifting floating object contains some plastic materials ; Boolean (Y/N) ; e.g., `N` ;String (Yes, No, Unk, Nap);
3DA;;Subsurface (tail); Metal ;; M ; Indicates whether the tail of the drifting floating object contains some metal materials ; Boolean (Y/N) ; e.g., `N` ;String (Yes, No, Unk, Nap);
3DA;;Subsurface (tail); Length ;; M ;  Length of the subsurface structure of the drifting floating object in centimetres (cm) ; Numeric ; e.g., `100` ; ;
3DA;;Subsurface (tail); Width  ;; O ; Width of the subsurface structure of the drifting floating object in centimetres (cm) ; Numeric ; e.g., `100` ;;
3DA;;Subsurface (tail); Height ;; O ; Height of the subsurface structure of the drifting floating object in centimetres (cm) ; Numeric ; e.g., `80` ; ;
3DA;;Subsurface (tail); Mesh ;; M ; Indicates whether the subsurface structure of the drifting floating object contains mesh ; Boolean (Y/N) ; e.g., `Y` ;String (Yes, No, Unk, Nap);
3DA;;Subsurface (tail); Mesh size ;; O ; Size of the main net mesh used on the subsurface structure of the drifting floating object (if any) in millimetres (mm) ; Numeric ; e.g., `3` ; ;
3DA;data;Catches by species, fate, raising, and unit; Species ;; M ; Species caught and discarded ; **Code** from [All Species](#allSpecies) ; e.g., `YFT` ;;
3DA;data;Catches by species, fate, raising, and unit; Type of fate ;; M ; Fate of fish caught (retained or discarded) ; **Code** from [Types of fate](#typesOfFate) ; e.g., `DL` ;;
3DA;data;Catches by species, fate, raising, and unit; Data raising ;; M ; Level of raising (i.e., extrapolation) ; **Code** from [Raisings](#raisings) ; e.g., `NR` ;;
3DA;data;Catches by species, fate, raising, and unit; Catch unit   ;; M ; Unit used to report the value of catch of a given species ; **Code** from [Catch units](#catchUnits) ; e.g., `T` ;;
