term ,acronym,definition,reference,alternative_definition,reference_alternative_definition,status,comment,glossary_reporting,glossary_observers,glossary_TRUEs,glossary_compliance,glossary_science,glossary_mse,glossary_EM,glossary_LL,glossary_PS,glossary_PL,glossary_GN
Accommodation,,Accommodation is the area or deck where the crew sleep and ablutions are situated,Observer Manual 2019,,,,It is a basic definition from the observer manual but I think it is sufficient,,TRUE,,,,,,,,,
Age-length (age-length key or curve),,Relationship between age and length,IOTC science glossary,,,,https://iotc.org/sites/default/files/documents/science/IOTC%20Glossary%20of%20terms%20SCIENCE.pdf,,,,,,,,,,,
Age-structured assessment,,Assessment of the status of a fish stock based on the relative abundances of fish of different ages in the stock,IOTC science glossary,,,,https://iotc.org/sites/default/files/documents/science/IOTC%20Glossary%20of%20terms%20SCIENCE.pdf,,,,,,,,,,,
Aggregation,,"Group of fish that comes together, often to feed or spawn.",IOTC science glossary,,,,https://iotc.org/sites/default/files/documents/science/IOTC%20Glossary%20of%20terms%20SCIENCE.pdf,,,,,,,,,,,
Anchor,,a device usually of metal attached to a ship or boat by a cable and cast overboard to hold it in a particular place by means of a fluke that digs into the bottom,Mirriam Webster Definition,,,,,,TRUE,,,,,,,,,
Anchored fish aggregating device,AFAD,A device tethered to the bottom of the ocean usually consisting of a buoy-and anchored to the bottom of the ocean,IOTC Resolution 23/01,Device that is anchored or otherwise attached to the seabed and is used for attracting and concentrating fish for the purpose of capture by a fishing gear, FAO terminology portal,,second definition is better - the first is IOTC-made. Science glossary also has a simpler definition. ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,
Ancillary logs,,Data records from the EM system that are supplemental to the EM Records such as a record of changes in system configurations and settings and a summary of system health checks performed,EM standards workshop (Murua et al. 2025) - Workshop standards - WCPFC,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,
Aquascope,,"A device that allows looking underwater from the surface, made of a cylinder or a cone, closed at both ends by a glass. Also called a bathyscope",IOTC ROS data standards,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Archival tagging,," Implanted fish tag that detects and records ('archives') environmental variables (e.g. water temperature)
and location over time.",IOTC science glossary,,,,,,,,,,,,,,,
Areas beyond national jurisdiction,ABNJ,Commonly called the high seas- are those areas of ocean for which no one nation has sole responsibility for management,FAO terminology portal,,,,"also looked at UN definitions, but this one was the best option",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Artificial Intelligence,AI,A machine-based system that can - for a given set of human- defined objectives -  make predictions - recommendations or decisions influencing real or virtual environments. Artificial intelligence systems use machine and human-based inputs to (A) perceive real and virtual environments; (B) abstract such perceptions into models through analysis in an automated matter; and (C) use model inference to formulate options for information or action,Murua 2025 EM workshop- WPCFC,,,,"this is an EM term, but the definition is not necessarily specific to EM - Happy with the definition",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,
Artisanal fishery,,"Traditional fishery that involves fishing households (as opposed to commercial companies) - using relatively small amounts of capital and energy - relatively small fishing vessels (if any) - making short fishing trips close to shore - mainly for local consumption. In practice - definition varies between countries - e.g. from gleaning or a one-man canoe in poor developing countries - to more than 20 m trawlers - seiners or longliners in developed ones. Artisanal fisheries can be subsistence or commercial fisheries, providing for local consumption or export. They are sometimes referred to as small-scale fisheries",https://www.fao.org/documents/card/en/c/ae76ef51-be20-5e71-aec5-b469e5e0a673,Fishery composed of fishing vessels of less than 24 m length overall that exclusively operate in the exclusive economic zone of their flag state,tbd,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,TRUE
Artisanal fishing vessel,,Fishing vessel less than 24 m in length overall operating inside the exclusive economic zone of a flag State and catching tuna or tuna-like species in the IOTC area of competence. Synonym to coastal fishing vessel,Guidelines for the reporting of fishery statistics to the IOTC,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,TRUE
