"schema","description","ros_db","iotcreferencedata_db","fad_db","biology_db"
"ros_meta","EN: Regional Observer Scheme metadata and administrative data, including observers, observer accreditation and identifiers, vessels and licensed target species, contacts and focal points, together with views providing summaries of trips, fishing days, fishing sets, effort, catches, hooks, length and weight data, and target species by year, flag, gear, and trip
FR: Métadonnées et données administratives du Mécanisme Régional d''Observateurs scientifiques, comprenant notamment les observateurs, leur accréditation et leurs identifiants, les navires et espèces cibles autorisées, les contacts et points focaux, ainsi que des vues fournissant des synthèses des marées, jours de pêche, opérations de pêche, efforts, captures, hameçons, données de longueur et de poids, et espèces ciblées par année, pavillon, engin et marée",TRUE,FALSE,FALSE,FALSE
"ros_common","EN: Common Regional Observer Scheme data, including observer and trip information, vessel characteristics, daily activities, activity details, biometric information, non-target species observations, depredation, fish preservation and storage, waste management, and reasons for days lost
FR: Données communes du Mécanisme Régional d''Observateurs scientifiques, comprenant notamment les informations relatives aux observateurs et aux marées, les caractéristiques des navires, les activités quotidiennes, les détails des activités, les informations biométriques, les observations d''espèces non ciblées, la déprédation, la conservation et le stockage des poissons, la gestion des déchets, ainsi que les raisons des jours perdus",TRUE,FALSE,FALSE,FALSE
"ros_ps","EN: Regional Observer Scheme data specific to purse seine fisheries, including fishing events and setting operations, catch details, gear specifications, objects and associated details, specimens, tagging information, cetacean and whale shark sightings, and additional catch details on species of special interest
FR: Données du Mécanisme Régional d''Observateurs scientifiques spécifiques aux pêcheries à senne coulissante, comprenant notamment les événements de pêche et les opérations de mise à l''eau, les détails des captures, les caractéristiques des engins, les objets et informations associées, les spécimens, les informations relatives au marquage, les observations de cétacés et de requins-baleines, ainsi que les informations complémentaires sur les captures d''espèces d''intérêt particulier",TRUE,FALSE,FALSE,FALSE
"ros_ll","EN: Regional Observer Scheme data specific to longline fisheries, including fishing events, setting and hauling operations, catch details, gear specifications and configurations, branchlines, hooks, leaders, floatlines, baits, lights and other gear components, mitigation measures and devices, offal disposal, target species, specimens, tagging information, and additional catch details on species of special interest
FR: Données du Mécanisme Régional d''Observateurs scientifiques spécifiques aux pêcheries à la palangre, comprenant notamment les événements de pêche, les opérations de mise à l''eau et de remontée des engins, les détails des captures, les caractéristiques et configurations des engins, les avançons, hameçons, bas de ligne, lignes de flotteurs, appâts, dispositifs lumineux et autres composants des engins, les mesures et dispositifs d''atténuation, l''élimination des déchets de poisson, les espèces ciblées, les spécimens, les informations relatives au marquage, ainsi que les informations complémentaires sur les captures d''espèces d''intérêt particulier",TRUE,FALSE,FALSE,FALSE
"ros_pl","EN: Regional Observer Scheme data specific to pole-and-line fisheries, including tuna and bait fishing events and operations, catch details, gear specifications, bait information and conditions, lures and jiggers, objects and associated details, target species, school sighting cues, specimens, tagging information, and additional catch details on species of special interest
FR: Données du Mécanisme Régional d''Observateurs scientifiques spécifiques aux pêcheries à canne et ligne, comprenant notamment les événements et opérations de pêche au thon et de pêche aux appâts, les détails des captures, les caractéristiques des engins, les informations sur les appâts et leurs conditions, les leurres et jiggers, les objets et informations associées, les espèces ciblées, les indices d''observation des bancs, les spécimens, les informations relatives au marquage, ainsi que les informations complémentaires sur les captures d''espèces d''intérêt particulier",TRUE,FALSE,FALSE,FALSE
"ros_gn","EN: Regional Observer Scheme data specific to gillnet fisheries, including fishing events, setting and hauling operations, catch details, gear specifications and configurations, net web colours and stretched mesh sizes, sinkers, mitigation measures and devices, specimens, tagging information, and additional catch details on species of special interest
FR: Données du Mécanisme Régional d''Observateurs scientifiques spécifiques aux pêcheries aux filets maillants, comprenant notamment les événements de pêche, les opérations de mise à l''eau et de remontée des engins, les détails des captures, les caractéristiques et configurations des engins, les couleurs et tailles de mailles étirées des filets, les plombs, les mesures et dispositifs d''atténuation, les spécimens, les informations relatives au marquage, ainsi que les informations complémentaires sur les captures d''espèces d''intérêt particulier",TRUE,FALSE,FALSE,FALSE
"refs_admin","EN: Administrative reference data, including countries, CPCs, entities, fleets, flags, ports, IOTC areas and related reporting requirements
FR: Données de référence administratives, comprenant notamment les pays, les CPC, les entités, les flottilles, les pavillons, les ports, les zones de la CTOI et les exigences de déclaration",TRUE,TRUE,TRUE,TRUE
"refs_biology","EN: Biological reference data, including species, biological characteristics, conditions, fates, sampling methods, measurements, maturity, sex, tagging and sample preservation
FR: Données de référence biologiques, comprenant notamment les espèces, les caractéristiques biologiques, les conditions, les destins, les méthodes d''échantillonnage, les mesures, la maturité, le sexe, le marquage et la conservation des échantillons",TRUE,TRUE,FALSE,TRUE
"refs_data","EN: Data reference information, including datasets, data sources, data types, coverage, estimations, raisings, processing activities, and logical responses, together with views providing source and processing information for the main IOTC datasets
FR: Données de référence relatives aux données, comprenant notamment les jeux de données, les sources de données, les types de données, la couverture, les estimations, les extrapolations, les traitements et les réponses logiques, ainsi que des vues fournissant des informations sur les sources et les traitements des principaux jeux de données de la CTOI.'",TRUE,TRUE,TRUE,TRUE
"refs_fishery","EN: Fishery reference data, including fisheries, fishing gears and methods, vessel characteristics, FADs and associated equipment, fishing activities, catch and effort units, and fish handling and processing
FR: Données de référence relatives aux pêcheries, comprenant notamment les pêcheries, les engins et méthodes de pêche, les caractéristiques des navires, les DCP et équipements associés, les activités de pêche, les unités de capture et d''effort, ainsi que la manutention et la transformation des poissons",TRUE,TRUE,TRUE,TRUE
"refs_fishery_config","EN: Reference data for configuring and classifying fisheries, including fishery types, fishing modes, gear configurations, target species, areas of operation and related classifications
FR: Données de référence pour la configuration et la classification des pêcheries, comprenant notamment les types de pêcheries, les modes de pêche, les configurations des engins, les espèces cibles, les zones d’activité et les classifications associées",TRUE,TRUE,TRUE,TRUE
"refs_gis","EN: Geographic reference data, including geographical areas, area types and spatial relationships between areas and IOTC grid cells
FR: Données de référence géographiques, comprenant notamment les zones géographiques, les types de zones et les relations spatiales entre les zones et les mailles des grilles de la CTOI",TRUE,TRUE,TRUE,TRUE
"refs_meta","EN: Metadata on the versions of IOTC reference codelists, including their update history and links to associated documentation and Zenodo records
FR: Métadonnées relatives aux versions des listes de référence de la CTOI, comprenant notamment leur historique de mise à jour et les liens vers la documentation et les dépôts Zenodo associés",TRUE,TRUE,TRUE,TRUE
